name,count,lat,lng
Australia,46,-25.2744,133.7751
New Zealand,11,-40.9006,174.886
Philippines,7,12.8797,121.774
Saudi Arabia,3,23.8859,45.0792
Sudan,1,12.8628,30.2176
Russia,4,61.524,105.3188
South Africa,4,-30.5595,22.9375
Hong Kong,1,22.3193,114.1694
India,15,20.5937,78.9629
Israel,10,31.0461,34.8516
Singapore,1,1.3521,103.8198
South Korea,2,35.9078,127.7669
Egypt,1,26.8206,30.8025
Montenegro,1,42.7087,19.3744
Turkey,4,38.9637,35.2433
Algeria,2,28.0339,1.6596
Malaysia,2,4.2105,101.9758
United Arab Emirates,4,23.4241,53.8478
Tunisia,1,33.8869,9.5375
China,1,35.8617,104.1954
Cyprus,2,35.1264,33.4299
Tasmania,1,-42.0,146.3159
Congo,1,-4.0383,21.7587
Guyana,1,4.8604,-58.9302
Islamabad,1,33.7294,73.0931
Georgia,1,42.3154,43.3569
UK,118,55.3781,-3.436
England,39,52.3555,-1.1743
Scotland,3,56.4907,-4.2026
Northern Ireland,5,54.7877,-6.4923
Romania,21,45.9432,24.9668
Poland,28,51.9194,19.1451
Germany,20,51.1657,10.4515
France,18,46.2276,2.2137
Estonia,2,58.5953,25.0136
Sweden,15,60.1282,18.6435
Norway,10,60.472,8.4689
Finland,2,61.9241,25.7482
Switzerland,5,46.8182,8.2275
Italy,21,41.8719,12.5674
Morocco,2,31.7917,-7.0926
Hungary,7,47.1625,19.5033
Malta,2,35.9375,14.3754
Spain,31,40.4637,-3.7492
The Netherlands,14,52.1326,5.2913
Greece,3,39.0742,21.8243
Portugal,8,39.3999,-8.2245
Ireland,8,53.1424,-7.6921
Denmark,9,56.2639,9.5018
Austria,4,47.5162,14.5501
Belgium,4,50.5039,4.4699
Slovenia,2,46.1512,14.9955
Czech Republic,2,49.8175,15.473
Bosnia and Herzegovina,1,43.9159,17.6791
Latvia,1,56.8796,24.6032
Croatia,1,45.1,15.2
El Salvador,9,13.7942,-88.8965
Canada,54,56.1304,-106.3468
USA,807,37.0902,-95.7129
Mexico,75,23.6345,-102.5528
Chile,12,-35.6751,-71.543
Peru,15,-9.19,-75.0152
Costa Rica,4,9.7489,-83.7534
Puerto Rico,2,18.2208,-66.5901
Trinidad and Tobago,2,10.6918,-61.2225
Unknown,566,,
Cuba,1,21.5218,-77.7812
Argentina,28,-38.4161,-63.6167
Bolivia,4,-16.2902,-63.5887
Venezuela,7,6.4238,-66.5897
Guatemala,2,15.7835,-90.2308
Nicaragua,1,12.8654,-85.2072
Colombia,7,4.5709,-74.2973
Brazil,59,-14.235,-51.9253
Uruguay,5,-32.5228,-55.7658
Paraguay,5,-23.4425,-58.4438
